title,country,date_added,platform,startYear,averageRating,numVotes,media,Action,Comedy,Drama,Horror,Romance,Sci.Fi,Thriller,budget,revenue
Big Shot,NA,"April 16, 2021",disney,2021,7.5,4016,TV Show,0,1,1,0,0,0,0,NA,NA
The Shaggy D.A.,United States,"November 12, 2019",disney,1976,5.8,3082,Movie,0,1,0,0,0,0,0,10236336.703592233,33942651.28709007
Dadnapped,United States,"November 12, 2019",disney,2009,4.8,3104,Movie,1,1,0,0,0,0,0,24756208.972555913,61397535.16168842
National Treasure: Book of Secrets,United States,"November 12, 2019",disney,2007,6.5,237723,Movie,1,0,0,0,0,0,0,130000000,457363168
My Favorite Martian,United States,"November 12, 2019",disney,1999,5,13712,Movie,0,1,0,0,0,1,0,65000000,36850101
Flight of the Navigator,United States,"November 12, 2019",disney,1986,6.9,48624,Movie,0,1,0,0,0,0,0,22119640.804215457,18564613
Earth to Ned,United States,"September 4, 2020",disney,2020,6.6,391,TV Show,0,1,0,0,0,1,0,NA,NA
Toy Story,United States,"November 12, 2019",disney,1995,8.3,985191,Movie,0,1,0,0,0,0,0,30000000,373554033
Feast,United States,"November 12, 2021",disney,2014,8.2,23275,Movie,0,1,1,0,0,0,0,21933419.38039287,77146408.40088011
Flora & Ulysses,United States,"February 19, 2021",disney,2021,6.2,6135,Movie,0,1,0,0,0,0,0,31080135.409063816,89326461.47583432
The Young Black Stallion,United States,"November 12, 2019",disney,2003,5.4,1205,Movie,0,0,1,0,0,0,0,22430692.939407997,51546702.169412024
Zootopia,United States,"November 12, 2019",disney,2016,8,494364,Movie,0,1,0,0,0,0,0,150000000,1023784195
Just Beyond,NA,"October 13, 2021",disney,2021,6.2,1604,TV Show,0,1,1,0,0,0,0,NA,NA
Donald's Tire Trouble,United States,"November 12, 2019",disney,1943,6.6,884,Movie,0,1,0,0,0,0,0,8149522.540081138,89817789.02278112
Disney's Doug,United States,"November 12, 2019",disney,1996,6.5,654,TV Show,0,1,1,0,0,0,0,NA,NA
Brink!,United States,"November 12, 2019",disney,1998,6.9,6387,Movie,0,0,1,0,0,0,0,21638590.891124558,42378162.309412174
Pixel Perfect,United States,"November 12, 2019",disney,2004,5.6,3682,Movie,0,1,0,0,0,0,0,20264473.86424512,42006674.373193964
Amy,United States,"November 12, 2019",disney,1981,6.6,504,Movie,0,0,1,0,0,0,0,8299012.482650362,26666618.45347161
Mr. Magoo,United States,"November 6, 2020",disney,1997,4,15395,Movie,0,1,0,0,0,0,0,30000000,65437985.97824307
Eragon,United States,"August 20, 2021",disney,2006,5.1,126858,Movie,1,0,0,0,0,0,0,100000000,249288105
Freaky Friday,United States,"November 12, 2019",disney,2003,6.3,139112,Movie,0,1,0,0,0,0,0,26000000,110230332
The Tortoise and the Hare,United States,"November 12, 2019",disney,1935,7.1,3137,Movie,0,1,0,0,0,0,0,32671,93724325.32590082
Wander Over Yonder,United States,"May 7, 2021",disney,2013,7.3,4336,TV Show,0,1,0,0,0,0,0,NA,NA
Bia,Argentina,"November 20, 2020",disney,2019,6.8,192,TV Show,1,1,1,0,0,0,0,NA,NA
Home Alone 2: Lost in New York,United States,"November 13, 2020",disney,1992,6.8,351729,Movie,0,1,0,0,0,0,0,18000000,358991681
How to Play Baseball,United States,"May 1, 2020",disney,1942,7.2,1136,Movie,0,1,0,0,0,0,0,5366400.931271645,98206674.84875235
Spider-Woman,United States,"November 12, 2019",disney,1979,5.8,826,TV Show,1,0,0,0,0,0,0,NA,NA
Christopher Robin,United Kingdom,"September 11, 2020",disney,2018,7.2,78059,Movie,0,1,1,0,0,0,0,35066896.08040525,92628805.05304396
The Princess and the Frog,United States,"November 12, 2019",disney,2009,7.1,144872,Movie,0,1,0,0,0,0,0,105000000,267045765
Ice Age: The Great Egg-Scapade,United States,"November 12, 2019",disney,2016,5.9,3587,Movie,0,1,0,0,0,0,0,35769096.91139797,91007211.6569592
Kick Buttowski: Suburban Daredevil,United States,"April 9, 2021",disney,2010,6.6,5233,TV Show,1,0,0,0,0,0,0,NA,NA
Miracle in Lane 2,United States,"November 12, 2019",disney,2000,6,2170,Movie,0,1,1,0,0,0,0,11691166.71216604,22184082.615169987
Becoming,United States,"September 18, 2020",disney,2020,7,67,TV Show,0,0,1,0,0,0,0,NA,NA
Cool Runnings,United States,"January 1, 2020",disney,1993,7,104455,Movie,0,1,0,0,0,0,0,14000000,154864401
Halloweentown,United States,"November 12, 2019",disney,1998,6.6,17868,Movie,0,1,0,0,0,0,0,32801153.764850896,79884980.93879105
Zapped,Canada,"November 12, 2019",disney,2014,5,5538,Movie,0,1,0,0,0,0,0,13173958.757345157,30065691.07368978
The Strongest Man in the World,United States,"November 12, 2019",disney,1975,5.9,3366,Movie,0,1,0,0,0,1,0,16715293.21033544,43931856.57553459
Three Men and a Little Lady,United States,"November 12, 2019",disney,1990,5.4,25002,Movie,0,1,1,0,0,0,0,24848783.317129817,51763691.18741442
Ice Age: A Mammoth Christmas,United States,"November 26, 2021",disney,2011,6.4,10467,Movie,0,1,0,0,0,0,0,42421922.17342815,99562125.85053898
